Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,9,0.09980825312333333,0.0
1,9,0.10240312905666665,0.0
2,9,0.10383425183666668,0.0
3,9,0.09638972888000001,0.0
4,9,0.08879900791333335,0.0
5,9,0.09390743031000001,0.0
6,9,0.13311527363999998,0.004647625259999999
7,9,0.11373479405666666,0.023470996236666663
8,9,0.15201157182,0.04756584529
9,9,0.19969601544666674,0.07744304433999999
10,9,0.23273266364666664,0.09557943356666669
11,9,0.24341702511333332,0.10105564155333334
12,9,0.24595701188999997,0.11368611199666666
13,9,0.2777378784533333,0.10214356388
14,9,0.2662617836766667,0.08361262373999997
15,9,0.25487076089999994,0.06071751426
16,9,0.22536823717333332,0.03750706096000001
17,9,0.1955981882666667,0.012019696283333334
18,9,0.17521328569666667,0.0008097899833333334
19,9,0.17107221163666664,0.0
20,9,0.16017669239666668,0.0
21,9,0.14875873750000002,0.0
22,9,0.13224503470666665,0.0
23,9,0.10704051964333332,0.0
