Time,Demand[kWh],Forecast_PV[Wh/unit],Forecast_Wind[kWh/unit]
2019/5/7 0:00,0.288,0,0
2019/5/7 1:00,0.288,0,0
2019/5/7 2:00,0.288,0,0
2019/5/7 3:00,0.288,0,0
2019/5/7 4:00,0.288,0,0
2019/5/7 5:00,0.288,1.344866212,0
2019/5/7 6:00,0.288,6.492375121,0
2019/5/7 7:00,0.374,24.7950973,0
2019/5/7 8:00,1.331,53.6133095,0
2019/5/7 9:00,1.274,87.29037349,0
2019/5/7 10:00,1.274,114.0080253,0
2019/5/7 11:00,1.274,130.689357,0
2019/5/7 12:00,1.274,135.5209173,0.059142857
2019/5/7 13:00,1.274,129.1529506,0.186520545
2019/5/7 14:00,0.288,111.3546053,0.237607883
2019/5/7 15:00,0.288,85.91473548,0.298650291
2019/5/7 16:00,0.317,55.84218974,0.270875465
2019/5/7 17:00,1.331,24.85395329,0.220582699
2019/5/7 18:00,1.331,6.850003122,0.072874093
2019/5/7 19:00,1.331,0.029944664,0
2019/5/7 20:00,1.331,0,0
2019/5/7 21:00,1.331,0,0
2019/5/7 22:00,1.331,0,0
2019/5/7 23:00,0.374,0,0
